"STATISTIC","Statistic Label","TLIST(A1)","Year","C02935V03550","Airport","C01885V02316","Month","UNIT","VALUE"
"TAM06","Passengers","2019","2019","EIDW","Dublin","01","January","Number","2054794"
"TAM06","Passengers","2019","2019","EIDW","Dublin","02","February","Number","1993325"
"TAM06","Passengers","2019","2019","EIDW","Dublin","03","March","Number","2432195"
"TAM06","Passengers","2019","2019","EIDW","Dublin","04","April","Number","2789660"
"TAM06","Passengers","2019","2019","EIDW","Dublin","05","May","Number","2965517"
"TAM06","Passengers","2019","2019","EIDW","Dublin","06","June","Number","3202409"
"TAM06","Passengers","2019","2019","EIDW","Dublin","07","July","Number","3430859"
"TAM06","Passengers","2019","2019","EIDW","Dublin","08","August","Number","3399714"
"TAM06","Passengers","2019","2019","EIDW","Dublin","09","September","Number","3021796"
"TAM06","Passengers","2019","2019","EIDW","Dublin","10","October","Number","2865397"
"TAM06","Passengers","2019","2019","EIDW","Dublin","11","November","Number","2240194"
"TAM06","Passengers","2019","2019","EIDW","Dublin","12","December","Number","2280391"
"TAM06","Passengers","2019","2019","EIDW","Dublin","-","All months","Number","32676251"
"TAM06","Passengers","2019","2019","EICK","Cork","01","January","Number","148939"
"TAM06","Passengers","2019","2019","EICK","Cork","02","February","Number","150482"
"TAM06","Passengers","2019","2019","EICK","Cork","03","March","Number","174876"
"TAM06","Passengers","2019","2019","EICK","Cork","04","April","Number","210510"
"TAM06","Passengers","2019","2019","EICK","Cork","05","May","Number","239077"
"TAM06","Passengers","2019","2019","EICK","Cork","06","June","Number","278961"
"TAM06","Passengers","2019","2019","EICK","Cork","07","July","Number","296876"
"TAM06","Passengers","2019","2019","EICK","Cork","08","August","Number","296799"
"TAM06","Passengers","2019","2019","EICK","Cork","09","September","Number","238523"
"TAM06","Passengers","2019","2019","EICK","Cork","10","October","Number","215482"
"TAM06","Passengers","2019","2019","EICK","Cork","11","November","Number","171693"
"TAM06","Passengers","2019","2019","EICK","Cork","12","December","Number","163248"
"TAM06","Passengers","2019","2019","EICK","Cork","-","All months","Number","2585466"
"TAM06","Passengers","2019","2019","EINN","Shannon","01","January","Number","87016"
"TAM06","Passengers","2019","2019","EINN","Shannon","02","February","Number","82497"
"TAM06","Passengers","2019","2019","EINN","Shannon","03","March","Number","100374"
"TAM06","Passengers","2019","2019","EINN","Shannon","04","April","Number","128840"
"TAM06","Passengers","2019","2019","EINN","Shannon","05","May","Number","160902"
"TAM06","Passengers","2019","2019","EINN","Shannon","06","June","Number","178680"
"TAM06","Passengers","2019","2019","EINN","Shannon","07","July","Number","183398"
"TAM06","Passengers","2019","2019","EINN","Shannon","08","August","Number","187029"
"TAM06","Passengers","2019","2019","EINN","Shannon","09","September","Number","166270"
"TAM06","Passengers","2019","2019","EINN","Shannon","10","October","Number","138218"
"TAM06","Passengers","2019","2019","EINN","Shannon","11","November","Number","104148"
"TAM06","Passengers","2019","2019","EINN","Shannon","12","December","Number","99050"
"TAM06","Passengers","2019","2019","EINN","Shannon","-","All months","Number","1616422"
"TAM06","Passengers","2019","2019","EIKN","Knock","01","January","Number","42413"
"TAM06","Passengers","2019","2019","EIKN","Knock","02","February","Number","45456"
"TAM06","Passengers","2019","2019","EIKN","Knock","03","March","Number","54700"
"TAM06","Passengers","2019","2019","EIKN","Knock","04","April","Number","71563"
"TAM06","Passengers","2019","2019","EIKN","Knock","05","May","Number","73850"
"TAM06","Passengers","2019","2019","EIKN","Knock","06","June","Number","77020"
"TAM06","Passengers","2019","2019","EIKN","Knock","07","July","Number","88781"
"TAM06","Passengers","2019","2019","EIKN","Knock","08","August","Number","94907"
"TAM06","Passengers","2019","2019","EIKN","Knock","09","September","Number","76300"
"TAM06","Passengers","2019","2019","EIKN","Knock","10","October","Number","72299"
"TAM06","Passengers","2019","2019","EIKN","Knock","11","November","Number","55255"
"TAM06","Passengers","2019","2019","EIKN","Knock","12","December","Number","52899"
"TAM06","Passengers","2019","2019","EIKN","Knock","-","All months","Number","805443"
"TAM06","Passengers","2019","2019","EIKY","Kerry","01","January","Number","20829"
"TAM06","Passengers","2019","2019","EIKY","Kerry","02","February","Number","22231"
"TAM06","Passengers","2019","2019","EIKY","Kerry","03","March","Number","25546"
"TAM06","Passengers","2019","2019","EIKY","Kerry","04","April","Number","32171"
"TAM06","Passengers","2019","2019","EIKY","Kerry","05","May","Number","34213"
